Problema,Algoritmo,Convergencia,Iteraciones,f(x*),||grad||,x* aproximado,Error vs óptimo
2a,steepest_descent,Sí,216,-1.5113194477216032,9.302921368342794e-07,[-1.014628 -1.04453 ],1.6767364939320195e-06
2a,gd_random_direction,Sí,94,-1.5113194477216396,5.72338370908328e-07,[-1.014628 -1.04453 ],1.5723056051173302e-06
2a,newton_exact,No,1,16.691204370033738,33.02065578835633,[-2.001562 -0.042188],1.4066720466627962
2a,nonlinear_CG_PR,Sí,147,-0.5121797144430285,9.692811036149946e-07,[0.983146 0.950285],2.8231884473848967
2a,BFGS,Sí,10,-0.5121797144430444,5.868268354981763e-07,[0.983146 0.950285],2.823188494252001
2b,steepest_descent,Sí,10206,8.293588448002971e-13,9.95822917971513e-07,[0.999999 0.999998],2.037794306837008e-06
2b,gd_random_direction,Sí,636,2.811213932664382e-16,1.248304221580469e-07,[1. 1.],3.700623744759931e-08
2b,newton_exact,Sí,21,3.743975643139474e-21,4.473328123560842e-10,[1. 1.],1.35118656593187e-10
2b,nonlinear_CG_PR,Sí,725,3.0987751167330196e-13,9.140289102242367e-07,[0.999999 0.999999],1.2451493973132454e-06
2b,BFGS,Sí,34,2.7456384089700976e-17,8.834633074179161e-08,[1. 1.],1.0864796304647433e-08
2c,steepest_descent,Sí,24784,3.9836005364258145,9.997655906910815e-07,[-0.991723  0.993555  0.992173  0.986899  0.975164  0.951431  0.905221],1.994791193391981
2c,nonlinear_CG_PR,Sí,341,1.1834650856958863e-14,4.7353124059785494e-07,[1. 1. 1. 1. 1. 1. 1.],2.1683337555731057e-07
2c,BFGS,Sí,77,1.1950947027911147e-15,5.33877453621868e-07,[1. 1. 1. 1. 1. 1. 1.],6.354787349654336e-08
